Item	Description	Re-lease	Test sequence (s)	Rel 99 ME	Rel-4 ME	Rel-5 ME	Rel-6 ME	Rel-7 ME	Rel-8 ME	Rel-9 ME	Rel-10 ME	Rel-11 ME	Rel-12 ME	Rel-13 ME	Rel-14 ME	Terminal Profile	Network Dependency	Sup-port	Additional test case execution parameter
	CALL CONTROL on EPS PDN for E-UTRAN – default PDN connection activation, not allowed	Rel-8	1.2												C222	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/142	E-USS or NB-SS (See NOTE)		
	CALL CONTROL on EPS PDN for E-UTRAN – default PDN connection activation, allowed with modification	Rel-8	1.3												C222	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64	E-USS or NB-SS (See NOTE)		
	CALL CONTROL on EPS PDN for E-UTRAN – PDN connection triggered by user, UICC sends 90 00	Rel-8	1.4												C190	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/142	E-USS only 		
	CALL CONTROL on EPS PDN for E-UTRAN – PDN connection triggered by user, UICC sends 93 00	Rel-8	1.5												C190	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/142	E-USS only 		
	CALL CONTROL on EPS PDN for E-UTRAN – PDN connection triggered by user, allowed with modification	Rel-8	1.6												C190	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64	E-USS only		
	CALL CONTROL on EPS PDN -  PDN connection activation from OPEN CHANNEL command	Rel-8	1.7												C182	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/142	E-USS only 		
52	Call Control on PDP Context Activation 27.22.11																		
	CALL CONTROL on PDP Context Activation – default PDP connection activation, allowed without modification	R99	1.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/142	UMTS System Simulator or System Simulator only		
	CALL CONTROL on PDP Context Activation – default PDP connection activation, not allowed	R99	1.2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/142	UMTS System Simulator or System Simulator only		
	CALL CONTROL on PDP Context Activation – default PDP connection activation, allowed with modification	R99	1.3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/142	UMTS System Simulator or System Simulator only		
	CALL CONTROL on PDP Context Activation – PDP connection triggered by user, UICC sends 90 00	R99	1.4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/142	UMTS System Simulator or System Simulator only		
	CALL CONTROL on PDP Context Activation – PDP connection triggered by user, UICC sends 93 00	R99	1.5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/142	UMTS System Simulator or System Simulator only		
	CALL CONTROL on PDP Context Activation – PDP connection triggered by user, allowed with modification	R99	1.6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/142	UMTS System Simulator or System Simulator only		
	CALL CONTROL on PDP Context Activation -  PDP connection activation from OPEN CHANNEL command	R99	1.7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	C191 AND C183	E.1/7 AND E.1/8 AND E.1/10 AND E.1/11 AND E.1/13 AND E.1/64 AND E.1/142	UMTS System Simulator or System Simulator only		
	NOTE: For Rel -13  if the UE supports NB-IoT, this test case shall be verified by accessing the NB System Simulator (NB-SS).
